"url","title","artist","style","date"
"http://uploads0.wikiart.org/images/alphonse-allais/first-communion-of-anaemic-young-girls-in-the-snow.jpg","First Communion of Anaemic Young Girls in the Snow","Alphonse Allais","abstract-art",1883
"http://uploads2.wikiart.org/images/alphonse-allais/apoplectic-cardinals-harvesting-tomatoes-on-the-shore-of-the-red-sea-study-of-the-aurora.jpg","Apoplectic Cardinals Harvesting Tomatoes on the Shore of the Red Sea (Study of the Aurora Borealis)","Alphonse Allais","abstract-art",1884
"http://uploads2.wikiart.org/images/alphonse-allais/band-of-greyfriars-in-the-fog-band-of-dusty-drunks-in-the-fog.jpg","Band of Greyfriars in the Fog (Band Of Dusty Drunks In The Fog)","Alphonse Allais","abstract-art",1884
"http://uploads5.wikiart.org/images/alphonse-allais/negroes-fighting-in-a-tunnel-by-night.jpg","Negroes Fighting in a Tunnel by Night","Alphonse Allais","abstract-art",1884
"http://uploads6.wikiart.org/images/alphonse-allais/fear-of-navy-recruits-seeing-the-mediterranean-for-the-first-time.jpg","The Awe of Navy Recruits Seeing for the First Time Your Blue, O Mediterranean Sea!","Alphonse Allais","abstract-art",1884
"http://uploads1.wikiart.org/images/alphonse-allais/jaundiced-cuckolds-handling-ochre.jpg","Jaundiced Cuckolds Handling Ochre","Alphonse Allais","abstract-art",1884
"http://uploads2.wikiart.org/images/alphonse-allais/some-pimps-known-as-green-backs-on-their-bellies-in-the-grass-drinking-absinthe.jpg","Some Pimps, Known as Green Backs, on their Bellies in the Grass, Drinking Absinthe","Alphonse Allais","abstract-art",1884
"http://uploads0.wikiart.org/images/hilma-af-klint/chaos-nr-2-1906.jpg","Chaos, Nr. 2","Hilma af Klint","abstract-art",1906
"http://uploads7.wikiart.org/images/david-burliuk/spring-1907(1).jpg","Spring","David Burliuk","abstract-art",1907
"http://uploads2.wikiart.org/images/hilma-af-klint/they-tens-mainstay-iv-1907.jpg","They tens mainstay IV","Hilma af Klint","abstract-art",1907
"http://uploads5.wikiart.org/images/hilma-af-klint/the-ten-largest-1907.jpg","The Ten Largest","Hilma af Klint","abstract-art",1907
"http://uploads2.wikiart.org/images/hilma-af-klint/de-tio-st-rsta-n-2-barnaaldern-1907.jpg","De tio storsta, ndeg 2 Barnaaldern","Hilma af Klint","abstract-art",1907
"http://uploads2.wikiart.org/images/hilma-af-klint/de-tio-st-rsta-n-10-alderdomen-1907.jpg","De Tio Storsta, ndeg10 Alderdomen","Hilma af Klint","abstract-art",1907
"http://uploads8.wikiart.org/images/wassily-kandinsky/improvisation-4-1909.jpg","Improvisation 4","Wassily Kandinsky","abstract-art",1909
"http://uploads0.wikiart.org/images/wassily-kandinsky/study-for-improvisation-8-1909.jpg","Study for Improvisation 8","Wassily Kandinsky","abstract-art",1909
"http://uploads7.wikiart.org/images/wassily-kandinsky/not_detected_189365.jpg","304","Wassily Kandinsky","abstract-art",1910
"http://uploads0.wikiart.org/images/wassily-kandinsky/first-abstract-watercolor-1910.jpg","First abstract watercolor","Wassily Kandinsky","abstract-art",1910
"http://uploads6.wikiart.org/images/wassily-kandinsky/improvisation-12-rider-1910.jpg","Improvisation 12 (Rider)","Wassily Kandinsky","abstract-art",1910
"http://uploads1.wikiart.org/images/wassily-kandinsky/improvisation-xiv-1910.jpg","Improvisation 14","Wassily Kandinsky","abstract-art",1910
"http://uploads7.wikiart.org/images/wassily-kandinsky/study-to-composition-ii-1910.jpg","Study to 'Composition II'","Wassily Kandinsky","abstract-art",1910
"http://uploads4.wikiart.org/images/david-burliuk/dedication-to-cezanne-1910(1).jpg","Dedication to Cezanne","David Burliuk","abstract-art",1910
"http://uploads8.wikiart.org/images/wassily-kandinsky/improvisation-9-1910.jpg","Improvisation 9","Wassily Kandinsky","abstract-art",1910
"http://uploads0.wikiart.org/images/wassily-kandinsky/improvisation-10-1910.jpg","Improvisation 10","Wassily Kandinsky","abstract-art",1910
"http://uploads0.wikiart.org/images/david-burliuk/abstraction-1910.jpg","Abstraction","David Burliuk","abstract-art",1910
"http://uploads4.wikiart.org/images/david-burliuk/abstraction.jpg","Abstraction","David Burliuk","abstract-art",1910
"http://uploads6.wikiart.org/images/arthur-beecher-carles/landscape-1910.jpg","Landscape","Arthur Beecher Carles","abstract-art",1910
"http://uploads7.wikiart.org/images/gerardo-dottori/explosion-of-red-on-green-1910.jpg","Explosion of Red on Green","Gerardo Dottori","abstract-art",1910
"http://uploads0.wikiart.org/images/wassily-kandinsky/glass-painting-with-the-sun-small-pleasures-1910.jpg","Glass Painting with the Sun (Small Pleasures)","Wassily Kandinsky","abstract-art",1910
"http://uploads0.wikiart.org/images/wassily-kandinsky/improvisation-11-1910.jpg","Improvisation 11","Wassily Kandinsky","abstract-art",1910
"http://uploads0.wikiart.org/images/wassily-kandinsky/untitled-first-abstract-watercolor-1910.jpg","Untitled (First abstract watercolor)","Wassily Kandinsky","abstract-art",1910
"http://uploads6.wikiart.org/images/wassily-kandinsky/impression-iii-concert-1911.jpg","Impression III (Concert)","Wassily Kandinsky","abstract-art",1911
"http://uploads0.wikiart.org/images/wassily-kandinsky/improvisation-19-1911.jpg","Improvisation 19","Wassily Kandinsky","abstract-art",1911
"http://uploads7.wikiart.org/images/wassily-kandinsky/lyrical-lyrics-1911.jpg","Lyrical (Lyrics)","Wassily Kandinsky","abstract-art",1911
"http://uploads2.wikiart.org/images/wassily-kandinsky/romantic-landscape-1911.jpg","Romantic landscape","Wassily Kandinsky","abstract-art",1911
